"country","iso_code","year","cases_total","region","cases_imported","cfr","deaths_total","cfr_hi","cfr_lo"
"Comoros","COM",2004,1,"AFRO",NA,0,0,0.975,0
"Comoros","COM",2005,0,"AFRO",NA,NA,0,NA,NA
"Comoros","COM",2006,0,"AFRO",NA,NA,0,NA,NA
"Comoros","COM",2007,1555,"AFRO",NA,0.0186495176848875,29,0.0266746961378127,0.0125245579740815
"Comoros","COM",2008,4,"AFRO",NA,0,0,0.602364635616475,0
"Congo","COG",1978,51,"AFRO",NA,0.274509803921569,14,0.417447523049197,0.158927265386414
"Congo","COG",1979,5,"AFRO",NA,0,0,0.521823750104981,0
"Congo","COG",1997,275,"AFRO",NA,0.218181818181818,60,0.271726710228618,0.170822725608683
"Congo","COG",1998,3222,"AFRO",NA,0.00682805710738672,22,0.0103196113102157,0.0042839087493762
"Congo","COG",1999,4813,"AFRO",NA,0.00415541242468315,20,0.00641043652235688,0.00254002535221746
"Congo","COG",2000,9,"AFRO",NA,0.222222222222222,2,0.600093573716312,0.0281449734778982
"Congo","COG",2005,0,"AFRO",NA,NA,0,NA,NA
"Congo","COG",2006,175,"AFRO",NA,0.0571428571428571,10,0.102575242497665,0.0277391826703088
"Congo","COG",2007,7785,"AFRO",NA,0.0170841361592807,133,0.0202145173446805,0.0143232545447699
"Congo","COG",2008,156,"AFRO",NA,0.0256410256410256,4,0.0643477642622564,0.00702954612652292
"Congo","COG",2009,93,"AFRO",NA,0,0,0.0388889985342759,0
"Congo","COG",2011,762,"AFRO",NA,NA,NA,NA,NA
"Congo","COG",2012,1181,"AFRO",NA,0.0313293818797629,37,0.0429265604750149,0.0221527193156484
"Congo","COG",2013,1624,"AFRO",NA,0.136083743842365,221,0.153725936593751,0.119768963251273
"Congo","COG",2016,15,"AFRO",NA,0.133333333333333,2,0.404602696603372,0.0165759134400836
"Congo","COG",2018,60,"AFRO",NA,0.05,3,0.139243246721073,0.0104323296443482
"Cote d'Ivoire","CIV",1970,868,"AFRO",NA,0.0449308755760369,39,0.0609128103534645,0.0321422252119403
"Cote d'Ivoire","CIV",1971,668,"AFRO",NA,0.0134730538922156,9,0.0254214242397147,0.00617874972459408
"Cote d'Ivoire","CIV",1979,3,"AFRO",NA,0,0,0.707598226178713,0
"Cote d'Ivoire","CIV",1982,34,"AFRO",NA,0,0,0.102817924259013,0
"Cote d'Ivoire","CIV",1991,604,"AFRO",NA,0.19205298013245,116,0.225771899493148,0.161379643381144
"Cote d'Ivoire","CIV",1992,37,"AFRO",NA,0.189189189189189,7,0.351552378369254,0.0796211208528769
"Cote d'Ivoire","CIV",1993,724,"AFRO",NA,0.0580110497237569,42,0.0776082969102612,0.0421254619048298
"Cote d'Ivoire","CIV",1994,1108,"AFRO",NA,0.0496389891696751,55,0.0641248044983967,0.0376105535391042
"Cote d'Ivoire","CIV",1995,4993,"AFRO",NA,0.0368515922291208,184,0.0424553253944743,0.0317981513732988
