"country","iso_code","region","year","cases_total","cases_imported","deaths_total","first_epiwk","last_epiwk","coverage_days","year_fraction","source","cfr","cfr_lo","cfr_hi"
"Algeria","DZA","AFRO",1989,393,NA,0,1989-01-01,1989-12-31,365,1,"OWiD",0,0,0.0093425463941067
"Algeria","DZA","AFRO",1990,1299,NA,20,1990-01-01,1990-12-31,365,1,"OWiD",0.0153964588144727,0.00942925520855274,0.0236788413288106
"Algeria","DZA","AFRO",1992,69,NA,0,1992-01-01,1992-12-31,365,1,"OWiD",0,0,0.0520580578630797
"Algeria","DZA","AFRO",1994,118,NA,4,1994-01-01,1994-12-31,365,1,"OWiD",0.0338983050847458,0.0093119649495914,0.0845205152952905
"Algeria","DZA","AFRO",2005,0,NA,0,2005-01-01,2005-12-31,365,1,"OWiD",NA,NA,NA
"Algeria","DZA","AFRO",2006,0,NA,0,2006-01-01,2006-12-31,365,1,"OWiD",NA,NA,NA
"Angola","AGO","AFRO",1971,1,NA,NA,1971-01-01,1971-12-31,365,1,"OWiD",NA,NA,NA
"Angola","AGO","AFRO",1972,268,NA,24,1972-01-01,1972-12-31,365,1,"OWiD",0.0895522388059701,0.0582219066571804,0.130314936590713
"Angola","AGO","AFRO",1973,263,NA,9,1973-01-01,1973-12-31,365,1,"OWiD",0.0342205323193916,0.0157649968194468,0.0639650864217459
"Angola","AGO","AFRO",1974,934,NA,34,1974-01-01,1974-12-31,365,1,"OWiD",0.0364025695931477,0.0253390939811809,0.0504995534422037
"Angola","AGO","AFRO",1975,88,NA,4,1975-01-01,1975-12-31,365,1,"OWiD",0.0454545454545455,0.0125218231213166,0.112309249183916
"Angola","AGO","AFRO",1977,726,NA,31,1977-01-01,1977-12-31,365,1,"OWiD",0.0426997245179063,0.0291937380639601,0.0600637983076633
"Angola","AGO","AFRO",1987,16222,NA,1403,1987-01-01,1987-12-31,365,1,"OWiD",0.086487486129947,0.0822056493512076,0.0909182563355645
"Angola","AGO","AFRO",1988,15500,NA,1542,1988-01-01,1988-12-31,365,1,"OWiD",0.0994838709677419,0.0948151020893262,0.104303556051316
"Angola","AGO","AFRO",1989,17601,NA,925,1989-01-01,1989-12-31,365,1,"OWiD",0.0525538321686268,0.049303032670907,0.0559534503802722
"Angola","AGO","AFRO",1990,9527,NA,809,1990-01-01,1990-12-31,365,1,"OWiD",0.0849165529547602,0.0793940651588171,0.0906943291208832
"Angola","AGO","AFRO",1991,8590,NA,582,1991-01-01,1991-12-31,365,1,"OWiD",0.0677532013969732,0.0625275570778159,0.0732742855492721
"Angola","AGO","AFRO",1992,3608,NA,184,1992-01-01,1992-12-31,365,1,"OWiD",0.0509977827050998,0.0440471691413037,0.0586867200486015
"Angola","AGO","AFRO",1994,3443,NA,187,1994-01-01,1994-12-31,365,1,"OWiD",0.0543130990415335,0.0469789095473512,0.0624151493804938
"Angola","AGO","AFRO",1995,3295,NA,248,1995-01-01,1995-12-31,365,1,"OWiD",0.0752655538694992,0.0664858611198522,0.0848076000137346
"Angola","AGO","AFRO",1996,1306,NA,42,1996-01-01,1996-12-31,365,1,"OWiD",0.0321592649310873,0.0232738551988178,0.0432231654749061
"Angola","AGO","AFRO",2005,0,NA,0,2005-01-01,2005-12-31,365,1,"OWiD",NA,NA,NA
"Angola","AGO","AFRO",2006,67257,NA,2722,2006-01-01,2006-12-31,365,1,"OWiD",0.0404716237715033,0.03899473919211,0.0419883190575404
"Angola","AGO","AFRO",2007,18422,NA,513,2007-01-01,2007-12-31,365,1,"OWiD",0.0278471392899794,0.0255188113060446,0.0303260514056588
"Angola","AGO","AFRO",2008,10511,NA,243,2008-01-01,2008-12-31,365,1,"OWiD",0.0231186376177338,0.020330830342456,0.0261747515731366
"Angola","AGO","AFRO",2009,2019,NA,88,2009-01-01,2009-12-31,365,1,"OWiD",0.0435859336305102,0.0351013787236056,0.0534255618323155
"Angola","AGO","AFRO",2010,1484,NA,30,2010-01-01,2010-12-31,365,1,"OWiD",0.0202156334231806,0.0136799493207268,0.0287341111356764
"Angola","AGO","AFRO",2011,1810,NA,110,2011-01-01,2011-12-31,365,1,"OWiD",0.0607734806629834,0.0502099955758841,0.0727865932067856
"Angola","AGO","AFRO",2012,1215,NA,98,2012-01-01,2012-12-31,365,1,"OWiD",0.0806584362139918,0.0659648551756189,0.0974175243353617
"Angola","AGO","AFRO",2013,6655,NA,86,2013-01-01,2013-12-31,365,1,"OWiD",0.0129226145755071,0.010349065439843,0.0159350404263956
"Angola","AGO","AFRO",2014,213,NA,3,2014-01-01,2014-12-31,365,1,"OWiD",0.0140845070422535,0.00291403565409615,0.0406069389981493
"Angola","AGO","AFRO",2016,78,NA,3,2016-01-01,2016-12-31,365,1,"OWiD",0.0384615384615385,0.00800302841749741,0.108311650289272
"Angola","AGO","AFRO",2017,828,NA,43,2017-01-01,2017-12-31,365,1,"OWiD",0.0519323671497585,0.0378351808171078,0.0693181143978066
"Angola","AGO","AFRO",2018,1546,NA,25,2018-01-01,2018-12-31,365,1,"OWiD",0.0161707632600259,0.0104914940473079,0.0237792102365021
"Angola","AGO","AFRO",2025,36319,NA,895,2025-01-06,2025-12-22,351,0.960985626283368,"dashboard:cholera_adm0_public_2025.csv",0.024642748974366,0.0230726429656388,0.0262894795682973
"Angola","AGO","AFRO",2026,4143,NA,80,2025-12-29,2026-05-11,134,0.366872005475702,"dashboard:cholera_adm0_public_snapshot_2026-06-02.csv",0.019309678976587,0.0153403172025473,0.0239756382612819
